Work,KL1,KD0,KD2,CL1,CD0,CD2_theta,(L/D)_max,AOA_max (deg),CL,CD,Wing Area (S),Span (b),Chord (c)
Synth_43,270.0108973086601,3.633100585654067,481.8651574168379,2.1601,0.0291,3.8549,3.23,4.98,0.1876,0.0581,0.0427,0.506,0.084
Synth_44,294.1681371044522,1.928384628895264,482.1123503484253,2.3533,0.0154,3.8569,4.82,3.62,0.1488,0.0309,0.0538,0.568,0.095
Synth_45,220.35452639009367,6.140701257775432,231.4595698566864,1.7628,0.0491,1.8517,2.92,9.33,0.2871,0.0983,0.0279,0.409,0.068
Synth_46,198.88676304472196,4.90629526126116,541.4668012486775,1.5911,0.0393,4.3317,1.93,5.45,0.1515,0.0785,0.0528,0.563,0.094
Synth_47,272.9685977522796,3.290925349377748,386.8255982689119,2.1837,0.0263,3.0946,3.83,5.28,0.2014,0.0527,0.0397,0.488,0.081
Synth_48,80.40674049423451,5.159153389595381,350.8361370077316,0.6433,0.0413,2.8067,0.94,6.95,0.078,0.0825,0.1026,0.784,0.131
Synth_49,84.98125034665945,4.986880729729287,500.2661536529216,0.6799,0.0399,4.0021,0.85,5.72,0.0679,0.0798,0.1179,0.841,0.14
Synth_50,244.52835009531373,2.3783406881894558,351.2380134771543,1.9562,0.019,2.8099,4.23,4.71,0.161,0.0381,0.0497,0.546,0.091
Synth_51,299.546574626129,1.8850411681044257,315.76393294133067,2.3964,0.0151,2.5261,6.14,4.43,0.1852,0.0302,0.0432,0.509,0.085
Synth_52,173.78446512702396,5.647304819348006,105.01015249157317,1.3903,0.0452,0.8401,3.57,13.29,0.3224,0.0904,0.0248,0.386,0.064
Synth_53,170.17218987072516,2.0116180018823697,405.8141922432212,1.3614,0.0161,3.2465,2.98,4.03,0.0958,0.0322,0.0835,0.708,0.118
Synth_54,241.03712259295432,4.037236771316122,138.75974980157645,1.9283,0.0323,1.1101,5.09,9.77,0.3289,0.0646,0.0243,0.382,0.064
Synth_55,294.2851209170939,5.094367017265179,546.5411802695087,2.3543,0.0408,4.3723,2.79,5.53,0.2273,0.0815,0.0352,0.46,0.077
Synth_56,239.614755317993,4.783913767409167,452.4626732072426,1.9169,0.0383,3.6197,2.58,5.89,0.1971,0.0765,0.0406,0.493,0.082
Synth_57,307.73539652159684,1.7380617821717008,111.36481081919564,2.4619,0.0139,0.8909,11.06,7.16,0.3076,0.0278,0.026,0.395,0.066
Synth_58,178.35527233691147,5.080283104072061,41.68761090890471,1.4268,0.0406,0.3335,6.13,20.0,0.4981,0.0813,0.0161,0.31,0.052
Synth_59,301.5302494066453,6.191785470497823,294.2275798051454,2.4122,0.0495,2.3538,3.53,8.31,0.3499,0.0991,0.0229,0.37,0.062
Synth_60,208.577074490256,2.156807950811009,505.990218027044,1.6686,0.0173,4.0479,3.16,3.74,0.1089,0.0345,0.0734,0.664,0.111
Synth_61,112.91627929350793,3.2266620216007262,302.3088270034208,0.9033,0.0258,2.4185,1.81,5.92,0.0933,0.0516,0.0857,0.717,0.12
Synth_62,305.9965199902493,1.5315098737276904,99.23836720591312,2.448,0.0123,0.7939,12.41,7.12,0.3041,0.0245,0.0263,0.397,0.066
Synth_63,94.68124058843064,5.134596709881634,292.1251460715936,0.7574,0.0411,2.337,1.22,7.6,0.1004,0.0822,0.0797,0.691,0.115
Synth_64,302.28685154988574,5.751706620523254,581.8098480606012,2.4183,0.046,4.6545,2.61,5.7,0.2404,0.092,0.0333,0.447,0.074
Synth_65,197.4222088724419,4.444751283957466,376.0224972836404,1.5794,0.0356,3.0082,2.41,6.23,0.1717,0.0711,0.0466,0.529,0.088
Synth_66,293.0027130449177,1.7349265673077854,208.52847079685824,2.344,0.0139,1.6682,7.7,5.23,0.2138,0.0278,0.0374,0.474,0.079
Synth_67,143.6433512802787,3.483134896975442,285.33545309204203,1.1491,0.0279,2.2827,2.28,6.33,0.127,0.0557,0.063,0.615,0.102
Synth_68,107.95861453256104,5.276619221950721,485.161858467334,0.8637,0.0422,3.8813,1.07,5.98,0.0901,0.0844,0.0888,0.73,0.122
Synth_69,122.3712370352472,5.0208463642548375,533.4495109124612,0.979,0.0402,4.2676,1.18,5.56,0.095,0.0803,0.0842,0.711,0.118
Synth_70,73.7217532905318,4.0438720444937895,50.95579508810199,0.5898,0.0324,0.4076,2.57,16.14,0.1661,0.0647,0.0482,0.537,0.09
Synth_71,234.66871862847267,5.758655654269939,528.1595159616704,1.8773,0.0461,4.2253,2.13,5.98,0.196,0.0921,0.0408,0.495,0.082
Synth_72,246.7163700427297,3.415989728736201,515.6884661980503,1.9737,0.0273,4.1255,2.94,4.66,0.1606,0.0547,0.0498,0.547,0.091
Synth_73,192.64576071906373,3.612957281294943,264.6504186405866,1.5412,0.0289,2.1172,3.12,6.69,0.1801,0.0578,0.0444,0.516,0.086
Synth_74,259.9956173835644,2.685956029000303,71.22893357987753,2.08,0.0215,0.5698,9.4,11.13,0.4039,0.043,0.0198,0.345,0.057
Synth_75,224.89874233696705,4.336925117638688,474.7776107063403,1.7992,0.0347,3.7982,2.48,5.48,0.172,0.0694,0.0465,0.528,0.088
Synth_76,162.25992969897874,5.521228315911796,271.5696205371513,1.2981,0.0442,2.1726,2.1,8.17,0.1851,0.0883,0.0432,0.509,0.085
Synth_77,189.8646328199331,2.5011043809312072,380.9458859045719,1.5189,0.02,3.0476,3.08,4.64,0.1231,0.04,0.065,0.625,0.104
Synth_78,133.7276074808093,2.3269117781809223,408.9305930299805,1.0698,0.0186,3.2714,2.17,4.32,0.0807,0.0372,0.0991,0.771,0.129
Synth_79,169.46849087240534,5.466339002549022,560.7330795333025,1.3557,0.0437,4.4859,1.53,5.66,0.1339,0.0875,0.0598,0.599,0.1
Synth_80,209.98309412997952,4.733375152211448,89.61999619623322,1.6799,0.0379,0.717,5.1,13.17,0.3861,0.0757,0.0207,0.353,0.059
Synth_81,265.30778858679884,3.3987488277163447,106.92039845084705,2.1225,0.0272,0.8554,6.96,10.22,0.3784,0.0544,0.0211,0.356,0.059
Synth_82,222.40715507448652,2.8432571365330226,85.50109217243899,1.7793,0.0227,0.684,7.13,10.45,0.3245,0.0455,0.0247,0.385,0.064
Synth_83,203.27447815493804,4.387174998995447,264.9247119623647,1.6262,0.0351,2.1194,2.98,7.37,0.2093,0.0702,0.0382,0.479,0.08
Synth_84,302.51489011504503,4.352803622461531,219.14624112771227,2.4201,0.0348,1.7532,4.9,8.07,0.3411,0.0696,0.0235,0.375,0.063
Synth_85,178.10430314672527,4.235271275444546,42.07228113605731,1.4248,0.0339,0.3366,6.67,18.18,0.4521,0.0678,0.0177,0.326,0.054
Synth_86,122.7578098231362,4.712192164772988,516.9603974355721,0.9821,0.0377,4.1357,1.24,5.47,0.0938,0.0754,0.0853,0.715,0.119
Synth_87,138.4209559076557,3.6661109073849953,176.7146438320655,1.1074,0.0293,1.4137,2.72,8.25,0.1595,0.0587,0.0502,0.549,0.091
Synth_88,259.37872648792955,3.11986763687086,88.6439760395761,2.075,0.025,0.7092,7.8,10.75,0.3893,0.0499,0.0206,0.351,0.059
Synth_89,245.09773742472635,2.058347387623419,413.6367316802235,1.9608,0.0165,3.3091,4.2,4.04,0.1383,0.0329,0.0578,0.589,0.098
Synth_90,163.69877521694053,2.7100869698582506,141.10243304506403,1.3096,0.0217,1.1288,4.19,7.94,0.1815,0.0434,0.0441,0.514,0.086
Synth_91,202.39504335111457,5.673879385104825,227.10110737850957,1.6192,0.0454,1.8168,2.82,9.06,0.2559,0.0908,0.0313,0.433,0.072
Synth_92,149.20578155318157,4.620418956957246,170.12955908049864,1.1936,0.037,1.361,2.66,9.44,0.1967,0.0739,0.0407,0.494,0.082
Synth_93,109.80294021528272,5.04687533996344,356.5313760693416,0.8784,0.0404,2.8523,1.29,6.82,0.1045,0.0808,0.0765,0.678,0.113
Synth_94,165.12384310512368,2.90511660289482,207.32438949251525,1.321,0.0232,1.6586,3.36,6.78,0.1564,0.0465,0.0512,0.554,0.092
Synth_95,87.23028204848984,2.0847051784767503,208.48019896618797,0.6978,0.0167,1.6678,2.09,5.73,0.0698,0.0334,0.1146,0.829,0.138
Synth_96,184.49124554079344,4.110385804050193,183.6282476018356,1.4759,0.0329,1.469,3.36,8.57,0.2208,0.0658,0.0362,0.466,0.078
Synth_97,80.91576325239501,1.6006150930791982,170.29291757967545,0.6473,0.0128,1.3623,2.45,5.55,0.0628,0.0256,0.1275,0.875,0.146
Synth_98,264.05153276614146,5.190093483390587,249.1555453241214,2.1124,0.0415,1.9932,3.67,8.27,0.3049,0.083,0.0262,0.397,0.066
Synth_99,308.9545058075672,2.611259085432214,226.4712084698397,2.4716,0.0209,1.8118,6.35,6.15,0.2654,0.0418,0.0301,0.425,0.071
Synth_100,238.9439609337008,6.10902022213568,319.34305760653746,1.9116,0.0489,2.5547,2.7,7.92,0.2644,0.0977,0.0303,0.426,0.071
Synth_101,133.08645635713037,4.78029978926643,101.10534779483665,1.0647,0.0382,0.8088,3.03,12.46,0.2315,0.0765,0.0346,0.455,0.076
Synth_102,205.5475168382017,5.288570049153246,440.2806348576788,1.6444,0.0423,3.5222,2.13,6.28,0.1802,0.0846,0.0444,0.516,0.086
Synth_103,89.64382226059239,3.702242416789389,583.7016407139411,0.7172,0.0296,4.6696,0.96,4.56,0.0571,0.0592,0.1401,0.917,0.153
Synth_104,159.2451772883685,4.41776359052844,179.26728911937084,1.274,0.0353,1.4341,2.83,8.99,0.2,0.0707,0.04,0.49,0.082
Synth_105,192.42609956918324,5.605165132623046,145.10309650004984,1.5394,0.0448,1.1608,3.37,11.26,0.3026,0.0897,0.0264,0.398,0.066
Synth_106,70.66893225616305,3.63924095796988,395.1814682301684,0.5654,0.0291,3.1615,0.93,5.5,0.0543,0.0582,0.1475,0.941,0.157
Synth_107,294.8480627510951,5.79024381503826,457.5621146032572,2.3588,0.0463,3.6605,2.86,6.45,0.2653,0.0926,0.0301,0.425,0.071
Synth_108,115.49612425657544,5.618042914380822,577.2909765911398,0.924,0.0449,4.6183,1.01,5.65,0.0911,0.0899,0.0878,0.726,0.121
Synth_109,105.76377973177568,4.608318225962872,497.36124663532087,0.8461,0.0369,3.9789,1.1,5.52,0.0814,0.0737,0.0982,0.768,0.128
Synth_110,300.4904987926879,3.5912652265227787,44.72262714795012,2.4039,0.0287,0.3578,11.86,16.24,0.6812,0.0575,0.0117,0.265,0.044
Synth_111,303.93659880204666,4.687386604096827,370.1709738900072,2.4315,0.0375,2.9614,3.65,6.45,0.2736,0.075,0.0292,0.419,0.07
Synth_112,251.6525287495337,5.484248561969926,493.61691619232994,2.0132,0.0439,3.9489,2.42,6.04,0.2122,0.0877,0.0377,0.476,0.079
Synth_113,183.7309362364989,5.043519034689036,557.3413298545063,1.4698,0.0403,4.4587,1.73,5.45,0.1398,0.0807,0.0572,0.586,0.098
Synth_114,194.77254102117791,1.5315734881022882,92.1271646730862,1.5582,0.0123,0.737,8.2,7.39,0.2009,0.0245,0.0398,0.489,0.081
Synth_115,246.08386672948396,6.396061156974366,96.23150224587968,1.9687,0.0512,0.7699,4.96,14.77,0.5075,0.1023,0.0158,0.308,0.051
Synth_116,316.87317427377457,5.105905540769164,106.62359367696,2.535,0.0408,0.853,6.79,12.54,0.5547,0.0817,0.0144,0.294,0.049
Synth_117,113.79651805897832,4.521230055639604,127.14754325594836,0.9104,0.0362,1.0172,2.37,10.8,0.1717,0.0723,0.0466,0.529,0.088
Synth_118,122.27062274032082,3.321540117270777,237.17062388963916,0.9782,0.0266,1.8974,2.18,6.78,0.1158,0.0531,0.0691,0.644,0.107
Synth_119,218.35868877922692,2.2010787756358914,61.63917744662479,1.7469,0.0176,0.4931,9.37,10.83,0.3301,0.0352,0.0242,0.381,0.064
Synth_120,286.6345985207762,2.6681549807048763,316.94771690375774,2.2931,0.0213,2.5356,4.93,5.26,0.2104,0.0427,0.038,0.478,0.08
Synth_121,156.6849825325505,2.0383965569495803,441.473900407758,1.2535,0.0163,3.5318,2.61,3.89,0.0852,0.0326,0.0939,0.751,0.125
Synth_122,139.96702368796045,3.9839880848642535,562.5668268636557,1.1197,0.0319,4.5005,1.48,4.82,0.0942,0.0637,0.0849,0.714,0.119
Synth_123,266.5820355048577,2.6675650636758843,342.3055532002552,2.1327,0.0213,2.7384,4.41,5.06,0.1883,0.0427,0.0425,0.505,0.084
Synth_124,286.35468265645915,3.6111760324067648,399.3272977433041,2.2908,0.0289,3.1946,3.77,5.45,0.2178,0.0578,0.0367,0.469,0.078
Synth_125,268.94915233425473,2.741747315169404,124.75449005216429,2.1516,0.0219,0.998,7.27,8.49,0.319,0.0439,0.0251,0.388,0.065
Synth_126,206.2509670031376,5.491065302218265,456.60868193014255,1.65,0.0439,3.6529,2.06,6.28,0.1809,0.0879,0.0442,0.515,0.086
Synth_127,81.88006424931767,5.630512649380868,437.7310054430567,0.655,0.045,3.5018,0.82,6.5,0.0743,0.0901,0.1077,0.804,0.134
Synth_128,233.63006756715035,2.784093996052789,59.105095834682864,1.869,0.0223,0.4728,9.11,12.44,0.4056,0.0445,0.0197,0.344,0.057
Synth_129,284.42156755077406,6.329043408422654,555.5920945174769,2.2754,0.0506,4.4447,2.4,6.12,0.2429,0.1013,0.0329,0.445,0.074
Synth_130,79.54966546151634,3.58453855598653,237.05430928641405,0.6364,0.0287,1.8964,1.36,7.05,0.0783,0.0574,0.1022,0.783,0.131
Synth_131,124.66259627831982,6.046870808580666,49.009891003803936,0.9973,0.0484,0.3921,3.62,20.13,0.3503,0.0967,0.0228,0.37,0.062
Synth_132,315.02360656849254,3.6749007280197303,466.4690049494385,2.5202,0.0294,3.7318,3.8,5.09,0.2237,0.0588,0.0358,0.463,0.077
Synth_133,274.04694867096407,2.625044176767042,85.78832213082993,2.1924,0.021,0.6863,9.13,10.02,0.3835,0.042,0.0209,0.354,0.059
Synth_134,141.4793977293025,2.26617764893114,317.6695861232006,1.1318,0.0181,2.5414,2.64,4.84,0.0956,0.0363,0.0837,0.709,0.118
Synth_135,246.97593706538316,4.425909625812535,272.0413411604994,1.9758,0.0354,2.1763,3.56,7.31,0.252,0.0708,0.0317,0.436,0.073
Synth_136,184.35852163980752,5.630357843064521,174.19141677621252,1.4749,0.045,1.3935,2.94,10.3,0.2652,0.0901,0.0302,0.425,0.071
Synth_137,218.88727016821247,2.333108993471737,488.7924839264359,1.7511,0.0187,3.9103,3.24,3.96,0.121,0.0373,0.0661,0.63,0.105
Synth_138,102.12837826643502,5.410698130510198,228.6507856191644,0.817,0.0433,1.8292,1.45,8.81,0.1257,0.0866,0.0637,0.618,0.103
Synth_139,223.075604010129,5.944762891073807,349.30758418103665,1.7846,0.0476,2.7945,2.45,7.47,0.2328,0.0951,0.0344,0.454,0.076
Synth_140,101.0322530754094,1.6019070298928644,122.2259476127934,0.8083,0.0128,0.9778,3.61,6.56,0.0925,0.0256,0.0865,0.72,0.12
Synth_141,166.3060888288146,2.410388014747785,119.80170417167946,1.3304,0.0193,0.9584,4.89,8.13,0.1887,0.0386,0.0424,0.504,0.084
Synth_142,177.33949961362936,1.637248632181453,104.42460503624848,1.4187,0.0131,0.8354,6.78,7.17,0.1776,0.0262,0.045,0.52,0.087
Synth_143,266.8032295763809,1.7685389909563458,122.2518860074537,2.1344,0.0141,0.978,9.07,6.89,0.2567,0.0283,0.0312,0.432,0.072
Synth_144,81.5549109569168,3.3948187971853523,530.740981124834,0.6524,0.0272,4.2459,0.96,4.58,0.0522,0.0543,0.1533,0.959,0.16
Synth_145,98.33655225870574,2.4177481260205003,74.4423801174124,0.7867,0.0193,0.5955,3.66,10.33,0.1418,0.0387,0.0564,0.582,0.097
Synth_146,227.9474098073832,2.8018013007848643,324.74903575597267,1.8236,0.0224,2.598,3.78,5.32,0.1694,0.0448,0.0472,0.532,0.089
Synth_147,296.3694571726006,3.840494989728801,490.9519511684347,2.371,0.0307,3.9276,3.41,5.07,0.2097,0.0614,0.0381,0.478,0.08
Synth_148,264.60939602945314,2.788756214467651,183.5160184862576,2.1169,0.0223,1.4681,5.85,7.06,0.261,0.0446,0.0307,0.429,0.071
Synth_149,150.58973278737528,1.7769326576203412,148.85132686422224,1.2047,0.0142,1.1908,4.63,6.26,0.1316,0.0284,0.0608,0.604,0.101
Synth_150,75.76641792958732,6.036480427969134,177.05612790972137,0.6061,0.0483,1.4164,1.16,10.58,0.1119,0.0966,0.0715,0.655,0.109
Synth_151,307.5381274879105,4.228102874482019,352.81860580108776,2.4603,0.0338,2.8225,3.98,6.27,0.2693,0.0676,0.0297,0.422,0.07
Synth_152,155.052305472946,3.164288051216652,52.64413072869039,1.2404,0.0253,0.4212,6.01,14.05,0.3041,0.0506,0.0263,0.397,0.066
Synth_153,254.1646998454625,2.0413859774735803,302.29713164349704,2.0333,0.0163,2.4184,5.12,4.71,0.1671,0.0327,0.0479,0.536,0.089
Synth_154,250.08401838205225,5.990661235398792,315.3645584055795,2.0007,0.0479,2.5229,2.88,7.9,0.2757,0.0959,0.029,0.417,0.07
Synth_155,186.2606931860101,5.279315008760768,392.2036637745103,1.4901,0.0422,3.1376,2.05,6.65,0.1729,0.0845,0.0463,0.527,0.088
Synth_156,194.95880124502375,1.5319133705174712,188.73496461083693,1.5597,0.0123,1.5099,5.73,5.16,0.1405,0.0245,0.0569,0.584,0.097
Synth_157,152.44058879705685,3.7429351060228697,59.815488157558825,1.2195,0.0299,0.4785,5.09,14.33,0.3051,0.0599,0.0262,0.397,0.066
Synth_158,212.1949068415097,2.601563205359376,429.7057931359786,1.6976,0.0208,3.4376,3.17,4.46,0.1321,0.0416,0.0606,0.603,0.1
Synth_159,190.0907513932309,2.741186228062344,565.2064307041902,1.5207,0.0219,4.5217,2.41,3.99,0.1059,0.0439,0.0755,0.673,0.112
Synth_160,231.92813926433,1.7082643537034938,382.88831905607407,1.8554,0.0137,3.0631,4.53,3.83,0.1239,0.0273,0.0646,0.622,0.104
Synth_161,155.72835697434618,6.158843551634304,543.2104461342093,1.2458,0.0493,4.3457,1.35,6.1,0.1327,0.0985,0.0603,0.602,0.1
Synth_162,155.3706294185449,4.036394172924612,298.250422750302,1.243,0.0323,2.386,2.24,6.67,0.1446,0.0646,0.0553,0.576,0.096
Synth_163,246.0052243713677,2.8437469281717638,430.0335166346003,1.968,0.0227,3.4403,3.52,4.66,0.16,0.0455,0.05,0.548,0.091
Synth_164,171.0009608398505,3.373786072146623,553.272129874083,1.368,0.027,4.4262,1.98,4.47,0.1068,0.054,0.0749,0.67,0.112
Synth_165,303.01715646064326,4.81910703978175,268.89511039703166,2.4241,0.0386,2.1512,4.21,7.67,0.3245,0.0771,0.0247,0.385,0.064
Synth_166,166.88632302109755,5.984437849588963,240.6175719474751,1.3351,0.0479,1.9249,2.2,9.04,0.2106,0.0958,0.038,0.477,0.08
Synth_167,82.50918284251252,4.480754033134632,330.6553957402031,0.6601,0.0358,2.6452,1.07,6.67,0.0768,0.0717,0.1041,0.79,0.132
Synth_168,198.26518117182957,1.8569374231514,134.47252212878686,1.5861,0.0149,1.0758,6.27,6.73,0.1864,0.0297,0.0429,0.507,0.085
Synth_169,252.59676444649625,4.945525259838147,244.9340061496685,2.0208,0.0396,1.9595,3.63,8.14,0.2871,0.0791,0.0279,0.409,0.068
Synth_170,266.7129166844305,2.474775660627909,108.8825452829112,2.1337,0.0198,0.8711,8.12,8.64,0.3217,0.0396,0.0249,0.386,0.064
Synth_171,76.55835263659822,4.286268877291189,491.9172412832255,0.6125,0.0343,3.9353,0.83,5.35,0.0572,0.0686,0.1399,0.916,0.153
Synth_172,80.85892427300247,1.723570812426653,254.6490914400622,0.6469,0.0138,2.0372,1.93,4.71,0.0532,0.0276,0.1503,0.95,0.158
Synth_173,160.41163338539715,5.343200103305593,266.6874423611754,1.2833,0.0427,2.1335,2.12,8.11,0.1816,0.0855,0.044,0.514,0.086
Synth_174,278.3972313944688,4.874510255722433,491.2771428916926,2.2272,0.039,3.9302,2.84,5.71,0.2218,0.078,0.0361,0.465,0.078
Synth_175,119.44165645959038,2.873322157043249,256.9647215215901,0.9555,0.023,2.0557,2.2,6.06,0.101,0.046,0.0792,0.689,0.115
Synth_176,221.1421007994607,1.9537441998193152,116.88233461351167,1.7691,0.0156,0.9351,7.32,7.41,0.2287,0.0313,0.035,0.458,0.076
Synth_177,279.4851712367324,5.209378522160383,406.5617781969409,2.2359,0.0417,3.2525,3.04,6.49,0.2531,0.0834,0.0316,0.435,0.073
Synth_178,134.59411775693434,6.492812598701103,517.5371015032101,1.0768,0.0519,4.1403,1.16,6.42,0.1206,0.1039,0.0663,0.631,0.105
Synth_179,110.19563423385593,4.265027223430293,329.8593343842495,0.8816,0.0341,2.6389,1.47,6.52,0.1002,0.0682,0.0798,0.692,0.115
Synth_180,237.864736183322,4.505171787384732,136.4920208729867,1.9029,0.036,1.0919,4.8,10.41,0.3457,0.0721,0.0231,0.373,0.062
Synth_181,257.392838185494,3.196275191991534,245.01364493510133,2.0591,0.0256,1.9601,4.6,6.54,0.2352,0.0511,0.034,0.452,0.075
Synth_182,208.97804161822023,3.821921076517677,446.6903612495525,1.6718,0.0306,3.5735,2.53,5.3,0.1546,0.0612,0.0517,0.557,0.093
Synth_183,91.7019499288144,4.946903860138463,81.27087331936559,0.7336,0.0396,0.6502,2.29,14.14,0.181,0.0792,0.0442,0.515,0.086
